Zip,Zip Code Type,City,state,county,area_codes,Latitude,Longitude,Population
61413,STANDARD,Alpha,IL,Henry County,309,41.19,-90.38,1021
61414,STANDARD,Altona,IL,Knox County,309,41.11,-90.16,798
61415,STANDARD,Avon,IL,Warren County,309,40.66,-90.43,1559
61417,STANDARD,Berwick,IL,Warren County,309,40.8,-90.53,0
61418,STANDARD,Biggsville,IL,Henderson County,309,40.85,-90.86,576
61420,STANDARD,Blandinsville,IL,McDonough County,"217,309",40.55,-90.86,961
61421,STANDARD,Bradford,IL,Bureau County,309,41.17,-89.65,1225
61422,STANDARD,Bushnell,IL,McDonough County,309,40.55,-90.5,2870
61423,STANDARD,Cameron,IL,Warren County,309,40.88,-90.51,573
61425,STANDARD,Carman,IL,Henderson County,309,40.73,-91.06,427
61427,STANDARD,Cuba,IL,Fulton County,309,40.49,-90.19,1944
61428,STANDARD,Dahinda,IL,Knox County,309,40.95,-90.1,888
61430,STANDARD,East Galesburg,IL,Knox County,309,40.94,-90.31,709
61431,STANDARD,Ellisville,IL,Fulton County,309,40.62,-90.3,0
61432,STANDARD,Fairview,IL,Fulton County,309,40.65,-90.19,613
61434,STANDARD,Galva,IL,Henry County,309,41.16,-90.03,2788
61435,STANDARD,Gerlaw,IL,Warren County,309,40.98,-90.6,0
61436,STANDARD,Gilson,IL,Knox County,309,40.86,-90.2,830
61437,STANDARD,Gladstone,IL,Henderson County,309,40.86,-90.95,745
61438,STANDARD,Good Hope,IL,McDonough County,309,40.55,-90.67,651
61440,STANDARD,Industry,IL,McDonough County,309,40.32,-90.6,687
61441,STANDARD,Ipava,IL,Fulton County,309,40.35,-90.32,790
61442,STANDARD,Keithsburg,IL,Mercer County,309,41.1,-90.93,634
61443,STANDARD,Kewanee,IL,Henry County,309,41.24,-89.92,11030
61447,STANDARD,Kirkwood,IL,Warren County,309,40.86,-90.74,875
61448,STANDARD,Knoxville,IL,Knox County,309,40.9,-90.28,3341
61449,STANDARD,La Fayette,IL,Stark County,309,41.1,-89.97,0
61450,STANDARD,La Harpe,IL,Hancock County,217,40.58,-90.97,1469
61451,STANDARD,Laura,IL,Peoria County,309,40.91,-89.91,0
61452,STANDARD,Littleton,IL,Schuyler County,309,40.23,-90.62,0
61453,STANDARD,Little York,IL,Warren County,309,41.01,-90.74,566
61454,STANDARD,Lomax,IL,Henderson County,217,40.67,-91.07,605
61455,STANDARD,Macomb,IL,McDonough County,309,40.47,-90.68,12149
61458,STANDARD,Maquon,IL,Knox County,309,40.79,-90.16,697
61459,STANDARD,Marietta,IL,Fulton County,309,40.49,-90.39,0
61460,STANDARD,Media,IL,Henderson County,309,40.77,-90.83,0
61462,STANDARD,Monmouth,IL,Warren County,309,40.91,-90.64,9115
61465,STANDARD,New Windsor,IL,Mercer County,309,41.2,-90.45,1108
61466,STANDARD,North Henderson,IL,Mercer County,309,41.09,-90.47,0
61467,STANDARD,Oneida,IL,Knox County,309,41.07,-90.22,956
61468,STANDARD,Ophiem,IL,Henry County,309,41.28,-90.33,0
61469,STANDARD,Oquawka,IL,Henderson County,309,40.93,-90.94,1798
61470,STANDARD,Prairie City,IL,McDonough County,309,40.62,-90.46,0
61472,STANDARD,Rio,IL,Knox County,309,41.1,-90.39,593
61473,STANDARD,Roseville,IL,Warren County,309,40.73,-90.66,1433
61474,STANDARD,Saint Augustine,IL,Knox County,309,40.71,-90.4,0
61475,STANDARD,Sciota,IL,McDonough County,309,40.56,-90.74,0
61476,STANDARD,Seaton,IL,Mercer County,309,41.1,-90.79,0
61477,STANDARD,Smithfield,IL,Fulton County,309,40.47,-90.29,545
61478,STANDARD,Smithshire,IL,Warren County,309,40.8,-90.78,0
61479,STANDARD,Speer,IL,Stark County,309,41.01,-89.69,0
61480,STANDARD,Stronghurst,IL,Henderson County,309,40.74,-90.9,1149
61482,STANDARD,Table Grove,IL,Fulton County,309,40.36,-90.42,580
61483,STANDARD,Toulon,IL,Stark County,309,41.09,-89.86,1703
61484,STANDARD,Vermont,IL,Fulton County,309,40.29,-90.42,733
61485,STANDARD,Victoria,IL,Knox County,309,41.03,-90.09,541
61486,STANDARD,Viola,IL,Mercer County,309,41.2,-90.58,1358
61488,STANDARD,Wataga,IL,Knox County,309,41.02,-90.27,1009
61489,STANDARD,Williamsfield,IL,Knox County,309,40.92,-90.01,787
61490,STANDARD,Woodhull,IL,Henry County,309,41.17,-90.32,1037
61491,STANDARD,Wyoming,IL,Stark County,309,41.06,-89.77,1841
61501,STANDARD,Astoria,IL,Fulton County,309,40.22,-90.35,1601
61516,STANDARD,Benson,IL,Woodford County,309,40.85,-89.12,633
61517,STANDARD,Brimfield,IL,Peoria County,309,40.83,-89.88,3009
61520,STANDARD,Canton,IL,Fulton County,309,40.56,-90.04,12952
61523,STANDARD,Chillicothe,IL,Peoria County,309,40.91,-89.49,9736
